"ptt","year","dep_brgr","dep_UK","dep_euna_sb","fin_sah_sb","arr_wgr_a","arr_wgr_b","dep_wgr_b","dep_wgr_a","dep_wa_a","dep_wa_b","dep_wa","fin_sah_nb","arr_UK","arr_brgr","br_hab","mig_dir","dep_brgr_TS","min_lat_stopover","any_so_s_europe_sbound","lat_last_euro_so_sbound","last_wa_fix_long","last_wa_fix_lat","last_wa_sos_long","last_wa_sos_lat","br_lat","br_long","first_fix_TS","dep_UK_TS","fin_sah_sb_TS","arr_wgr_a_TS","arr_wgr_b_TS","dep_wgr_b_TS","min_lat_stopover_id","dep_wgr_a_TS","dep_wgr_a_TS_ford1plot","dep_wa_TS","arr_UK_TS","arr_brgr_TS","last_fix_TS"
"134957",2014,1.67166666666667,-1.67166666666667,-2.26702546296296,-2.08408564814815,2.3150462962963,-11.546087962963,36.8735648148148,-36.8735648148148,NA,NA,42.878587962963,NA,42.878587962963,-0.984444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134957",2015,11.9671643518519,-11.9671643518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134958",2014,1.68673611111111,-1.68673611111111,-2.38924768518519,-1.04822916666667,0.668344907407407,-4.7221412037037,2.37261574074074,-2.57657407407407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134959",2014,2.3118287037037,-2.3118287037037,-2.34363425925926,-1.23791666666667,2.50821759259259,-2.27979166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134960",2014,2.63284722222222,-2.63284722222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134961",2014,2.47520833333333,-2.47520833333333,-2.36482638888889,-1.27056712962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134963",2014,1.05,-1.05,-2.39042824074074,-2.03327546296296,2.42575231481481,-2.3749537037037,2.34101851851852,-2.63820601851852,9.47209490740741,-9.47209490740741,2,NA,1.15299768518519,-1.15299768518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134963",2015,2.26114583333333,-2.26114583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134964",2014,2.8546412037037,-2.8546412037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146753",2015,2.31049768518519,-2.31049768518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146754",2015,1.22737268518519,-1.22737268518519,-9.16600694444444,-1.39119212962963,2.54320601851852,-2.39577546296296,2.33162037037037,-21.3651273148148,4.7077662037037,-2.34203703703704,2,-4.45336805555556,2.57282407407407,-1.9506712962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146756",2015,2.24050925925926,-4.52474537037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146757",2015,2.58184027777778,-2.58184027777778,-4.95712962962963,-2.25780092592593,2.21466435185185,-2.44538194444444,4.39795138888889,-2.58288194444444,4.75898148148148,NA,2.35648148148148,-0.585960648148148,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146758",2015,3.0484837962963,-2.31859953703704,-2.48100694444444,-2.15336805555556,2.13305555555556,-2.36186342592593,13.8947337962963,-48.0613194444444,11.9613310185185,-11.9613310185185,2,-4.25761574074074,2.28899305555556,-2.50130787037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146758",2016,2.99344907407407,-2.48637731481481,-9.40667824074074,-2.16310185185185,2.41744212962963,-2.28189814814815,4.62002314814815,-2.56430555555556,2.35832175925926,-2.35832175925926,2,-0.649305555555556,2.49927083333333,-2.37246527777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146758",2017,1.27162037037037,-2.2787037037037,-3.90803240740741,-2.60434027777778,4.53185185185185,-4.64196759259259,11.5302083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146759",2015,2.23700231481481,-2.23700231481481,-2.44462962962963,-2.44091435185185,2.69850694444444,-2.57142361111111,2.36653935185185,-19.2737615740741,4.99637731481481,-4.99637731481481,2,-2.35462962962963,1.73334490740741,-1.73334490740741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146759",2016,2.40597222222222,-2.40597222222222,-2.26820601851852,-2.51700231481481,2.30890046296296,-4.81736111111111,7.19116898148148,-2.40708333333333,4.62828703703704,NA,2.41540509259259,-2.39311342592593,2.45762731481481,-2.71136574074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146759",2017,2.45908564814815,-2.45908564814815,-2.44136574074074,-7.16700231481482,2.41659722222222,-2.475625,11.9940277777778,-12.0288194444444,6.90581018518519,-2.43297453703704,2,-2.46476851851852,2.58762731481482,-2.58762731481482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146759",2018,2.35043981481481,-2.35043981481481,-11.9775462962963,-2.5012962962963,23.9225694444444,-7.13630787037037,18.933599537037,-21.6450578703704,16.3419907407407,NA,16.3419907407407,NA,13.5294907407407,-13.5294907407407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146759",2019,4.67584490740741,-2.37542824074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146760",2015,4.07393518518519,-4.07393518518519,-16.7945138888889,-2.05239583333333,7.04157407407407,-4.60518518518519,2.27622685185185,-51.5487152777778,4.64859953703704,-33.2776736111111,2,-2.3830787037037,4.41677083333333,-4.41677083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146760",2016,6.94001157407407,-2.1725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146761",2015,1.4044212962963,-1.4044212962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
